state_region,iso_alpha2,iso_alpha3
South and Central Asia,AF,AFG
Europe and Eurasia,AL,ALB
Near East (Middle East and Northern Africa),DZ,DZA
NA,AS,ASM
Europe and Eurasia,AD,AND
Sub-Saharan Africa,AO,AGO
NA,AI,AIA
Western Hemisphere,AG,ATG
Western Hemisphere,AR,ARG
Europe and Eurasia,AM,ARM
NA,AW,ABW
East Asia and the Pacific,AU,AUS
Europe and Eurasia,AT,AUT
Europe and Eurasia,AZ,AZE
Western Hemisphere,BS,BHS
Near East (Middle East and Northern Africa),BH,BHR
South and Central Asia,BD,BGD
Western Hemisphere,BB,BRB
Europe and Eurasia,BY,BLR
Europe and Eurasia,BE,BEL
Western Hemisphere,BZ,BLZ
Sub-Saharan Africa,BJ,BEN
NA,BM,BMU
South and Central Asia,BT,BTN
Western Hemisphere,BO,BOL
NA,BQ,BES
Europe and Eurasia,BA,BIH
Sub-Saharan Africa,BW,BWA
Western Hemisphere,BR,BRA
NA,VG,VGB
East Asia and the Pacific,BN,BRN
Europe and Eurasia,BG,BGR
Sub-Saharan Africa,BF,BFA
East Asia and the Pacific,MM,MMR
Sub-Saharan Africa,BI,BDI
Sub-Saharan Africa,CV,CPV
East Asia and the Pacific,KH,KHM
Sub-Saharan Africa,CM,CMR
Western Hemisphere,CA,CAN
NA,KY,CYM
Sub-Saharan Africa,CF,CAF
Sub-Saharan Africa,TD,TCD
Western Hemisphere,CL,CHL
NA,HK,HKG
East Asia and the Pacific,CN,CHN
Western Hemisphere,CO,COL
Sub-Saharan Africa,KM,COM
Sub-Saharan Africa,CG,COG
Sub-Saharan Africa,CD,COD
NA,CK,COK
Western Hemisphere,CR,CRI
Sub-Saharan Africa,CI,CIV
Europe and Eurasia,HR,HRV
Western Hemisphere,CU,CUB
NA,CW,CUW
Europe and Eurasia,CY,CYP
Europe and Eurasia,CZ,CZE
Europe and Eurasia,DK,DNK
Sub-Saharan Africa,DJ,DJI
Western Hemisphere,DM,DMA
Western Hemisphere,DO,DOM
Western Hemisphere,EC,ECU
Near East (Middle East and Northern Africa),EG,EGY
Western Hemisphere,SV,SLV
Sub-Saharan Africa,GQ,GNQ
Sub-Saharan Africa,ER,ERI
Europe and Eurasia,EE,EST
